
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-03-15 08:55:46 /register .................................. ~ 500.62ms
  2026-03-15 08:56:32 /register .................................... ~ 0.28ms
  2026-03-15 08:57:57 /register .................................... ~ 0.23ms
  2026-03-15 08:58:45 /register .................................... ~ 0.17ms
  2026-03-15 08:59:41 /register .................................... ~ 0.18ms
  2026-03-15 08:59:41 /build/assets/app-Ca1feuR5.css ............... ~ 0.14ms
  2026-03-15 08:59:41 /build/assets/framer-DitmWPeu.js ............. ~ 0.09ms
  2026-03-15 08:59:41 /build/assets/app-BrW2xfGe.js ................ ~ 0.51ms
  2026-03-15 08:59:41 /build/assets/lucide-B1Dx2dKo.js ............. ~ 1.05ms
  2026-03-15 08:59:41 /build/assets/radix-DqnUYAzE.js .............. ~ 1.49ms
  2026-03-15 08:59:41 /build/assets/app-DFBjH7U3.js ................ ~ 2.27ms
  2026-03-15 08:59:42 /build/assets/register-djv0UJ1_.js ........... ~ 0.11ms
  2026-03-15 08:59:42 /build/assets/index-ChrTXibf.js .............. ~ 0.51ms
  2026-03-15 08:59:42 /build/assets/input-error-DkWMx9mm.js ........ ~ 1.00ms
  2026-03-15 08:59:42 /build/assets/index-bAIvUhyU.js .............. ~ 1.27ms
  2026-03-15 08:59:42 /build/assets/text-link-CCzOJwJD.js .......... ~ 1.75ms
  2026-03-15 08:59:42 /build/assets/recharts-BLLg2GQm.js ........... ~ 2.09ms
  2026-03-15 08:59:42 /build/assets/app-Ca1feuR5.css ............... ~ 2.04ms
  2026-03-15 08:59:42 /build/assets/button-z8UG-w0p.js ............. ~ 0.65ms
  2026-03-15 08:59:42 /build/assets/input-BBb60FtJ.js .............. ~ 0.47ms
  2026-03-15 08:59:42 /build/assets/label-BltRsoEy.js .............. ~ 0.92ms
  2026-03-15 08:59:42 /build/assets/spinner-COHFsvLZ.js ............ ~ 1.33ms
  2026-03-15 08:59:42 /build/assets/card-DP112bBj.js ............... ~ 1.77ms
  2026-03-15 09:00:33 /register .................................... ~ 0.16ms
  2026-03-15 09:00:33 /build/assets/app-Ca1feuR5.css ............... ~ 0.06ms
  2026-03-15 09:00:33 /build/assets/framer-DitmWPeu.js ............. ~ 0.09ms
  2026-03-15 09:00:33 /build/assets/app-BrW2xfGe.js ................ ~ 0.53ms
  2026-03-15 09:00:33 /build/assets/lucide-B1Dx2dKo.js ............. ~ 1.10ms
  2026-03-15 09:00:33 /build/assets/radix-DqnUYAzE.js .............. ~ 1.73ms
  2026-03-15 09:00:33 /build/assets/app-DFBjH7U3.js ................ ~ 2.60ms
  2026-03-15 09:00:33 /build/assets/register-djv0UJ1_.js ........... ~ 0.10ms
  2026-03-15 09:00:33 /build/assets/index-ChrTXibf.js .............. ~ 0.55ms
